organization;name;key
finos;Legend Pure;legend-pure
cdcgov;prime-router;CDCgov_prime-data-hub
willintech;SBSgitjenkins;Willintech_SBSgitjenkins
wmftest;mediawiki-core;mediawiki-core
fluidattacks;universe;fluidattacks_universe
apache;Camel;apache_camel
paladincloud;PaladinCloud;PaladinCloud_CE
apache;Apache ShardingSphere;apache_shardingsphere
erxes;erxes;erxes_erxes
brave;brave-core;brave_brave-core
nuclos;Nuclos;nuclos_nuclos
martinalupini;Apache BookKeeper :: Parent;martinalupini_bookkeeper
itisfoundation;osparc-simcore;ITISFoundation_osparc-simcore
matmair;InvenTree;matmair_InvenTree
ovh;cds;ovh_cds
ipti;br.tag;ipti_br.tag
rahulgautamsingh;renovate;RahulGautamSingh_renovate
dogtagpki;pki;dogtagpki_pki
prac;prac;prac_prac
koushenhai;KCloud-Platform-IoT;KouShenhai_KCloud-Platform-Alibaba
oss-evaluation;Apache HBase;oss-evaluation-apache_hbase
containers;podman-desktop;containers_podman-desktop
opencb;OpenCGA;opencb_opencga
primefaces;PrimeFaces;org.primefaces:primefaces
xwiki;XWiki Platform - Parent POM;org.xwiki.platform:xwiki-platform
uyuni-project;uyuni;uyuni-project_uyuni
bcgov-sonarcloud;PSSG-SPDBT;bcgov_PSSG-SPDBT
open-condo-software;condo;open-condo-software_condo
prova-progetto;NumaHOP;prova-progetto_numahop
arvados;arvados;arvados_arvados
bcgov-sonarcloud;NRPTI;bcgov_NRPTI
frank-framework;Frank!Framework parent;ibissource_iaf
wireapp;wire-android;wireapp_wire-android
dynatrace-oss;terraform-provider-dynatrace;dynatrace-oss_terraform-provider-dynatrace
wireapp;wire-webapp;wireapp_wire-webapp
dhis2;DHIS2;dhis2_dhis2-core
janus-idp;backstage-plugins;janus-idp_backstage-plugins
gemrb;gemrb;gemrb_gemrb
gonnabe88;ePAMS;gonnabe88_ePAMS
martorelliluca;bookkeeper;MartorelliLuca_bookkeeper
ixofoundation;ixo-webclient;ixofoundation_ixo-webclient
mitre;heimdall2;mitre_heimdall2
oss-evaluation;Soot - a J*va Optimization Framework;oss-evaluation-soot-oss_soot
knime;knime-bigdata;KNIME_knime-bigdata
dfe-digital;register-trainee-teachers;DFE-Digital_register-trainee-teacher-data
oss-evaluation;dubbo-parent;oss-evaluation-apache_dubbo
open-cluster-management;console;open-cluster-management_console
jlawyerorg;j-lawyer-org;jlawyerorg_j-lawyer-org
alliancebioversityciat;onecgiar_pr;AllianceBioversityCIAT_onecgiar_pr
apache;PLC4X;apache_plc4x
ministryofjustice;Claim-for-Crown-Court-Defence;ministryofjustice_Claim-for-Crown-Court-Defence
0xpolygonhermez;cdk-erigon;0xPolygonHermez_cdk-erigon
szicom-sonar;szicom_decom;szicom_decom
ndsev;zserio;ndsev_zserio
navikt;foreldrepengesoknad;navikt_foreldrepengesoknad
pass-culture;pass-culture-main;pass-culture_pass-culture-main
lowcoder;lowcoder;lowcoder-org_lowcoder
buchen-github;Portfolio Performance;name.abuchen.portfolio:portfolio-app
twilio;twilio-java;twilio_twilio-java
mtes-mct;trackdechets;MTES-MCT_trackdechets
grafixeyehero;jellyfin-web;grafixeyehero_jellyfin-web
consensys;MetaMask Mobile Project;metamask-mobile
wiilog;wiistock;wiilog_wiistock
gravitee-io;Gravitee.io Access Management;gravitee-io_graviteeio-access-management
giulianoc;CatraMMS;giulianoc_CatraMMS
dfe-digital;manage-free-school-projects;DFE-Digital_manage-free-schools-projects
bettersocial;admin-system;BetterSocial_admin-system
apache;Apache IoTDB Project Parent POM;apache_iotdb
idempiere;org.idempiere.main;idempiere_idempiere
polymeshassociation;polymesh-sdk;PolymeshAssociation_polymesh-sdk
knime;knime-js-base;KNIME_knime-js-base
finos;legend-studio;legend-studio
shinyano;binaryen;shinyano_binaryen2
phanhuynh2606;PRJ301_Asignment;phanhuynh2606_PRJ301_Asignment
artinstituteofchicago-github;artic.edu;art-institute-of-chicago_artic.edu
meeds-io;GateIn - Portal;org.exoplatform.gatein.portal
googleapis;gapic-generator-java-root;googleapis_gapic-generator-java
meeds-io;eXo PLF:: Social;org.exoplatform.social
oss-evaluation;Apache Accumulo Project;oss-evaluation-apache_accumulo
knime;knime-base;KNIME_knime-base
eclipse;kura;org.eclipse.kura:kura
ledgerwatch;erigon;ledgerwatch_erigon
iotexproject;iotex-core;iotexproject_iotex-core
specinfo-ua;UAPKI;specinfo-ua_UAPKI
cloudrexx;cloudrexx-oss;cloudrexx_cloudrexx-oss
matrix-org;matrix-react-sdk;matrix-react-sdk
apache;Apache PDFBox parent;pdfbox-reactor
gravitee-io;Gravitee.io APIM - Rest API;gravitee-io_gravitee-api-management_rest-api
gravitee-io;Gravitee.io APIM - UI Console;gravitee-io_gravitee-api-management_console-webui
oss-evaluation;druid-parent;oss-evaluation-alibaba_druid
knime;knime-core;KNIME_knime-core
apache;lucenenet;apache_lucenenet
openbankproject;OBP-API;OpenBankProject_OBP-API
cfpb;consumerfinance.gov;cfpb_consumerfinance.gov
cosmos;Cosmos SDK;cosmos_cosmos-sdk
systemoptima;Logistics Optimization;systemoptima_Logistics-Optimization
wordpress-mobile;WordPress-Android;wordpress-mobile_WordPress-Android
navikt;fp-sak;navikt_fp-sak
external-secrets;external-secrets;external-secrets_external-secrets
botcompansol;blumen_2.0;botcompansol_blumen_2.0
alephium;alephium;alephium_alephium
ballerina-platform;ballerina-parent;ballerina-lang
oss-evaluation;Apache PDFBox parent;oss-evaluation-apache_pdfbox
mtes-mct;monitorfish;MTES-MCT_monitorfish
ibexa;admin-ui;ibexa_admin-ui
wordpress-mobile;WordPress-iOS;wordpress-mobile_WordPress-iOS
budget-execution;Sherpa;KarmaScripter_BudgetExecution
sirjuddington;SLADE;sirjuddington_SLADE
cps-innovation;witexprototype;CPS-Innovation_witexprototype
selinux24-github;Skirmish-dev;Selinux24_Skirmish_dev
schulcloud-verbund;nuxt-client;hpi-schul-cloud_nuxt-client
hibernate;Hibernate Search;org.hibernate.search:hibernate-search-parent
corda;corda-runtime-os;corda_corda-runtime-os
btigit03;apache_hadoop;BTIGIT03_apache_hadoop
kubevirt;kubevirt;kubevirt_kubevirt
uk-export-finance;dtfs2;UK-Export-Finance_dtfs2
memgraph;memgraph;memgraph_memgraph
reportportal;service-ui;reportportal_service-ui
wmftest;mediawiki-extensions-Wikibase;mediawiki-extensions-Wikibase
apache;Hive;apache_hive
vaadin;web-components;vaadin_web-components
pimcore;pimcore;pimcore_pimcore
arenadata;adcm;arenadata_adcm
apache;fineract;apache_fineract
eyinwag;kubernetes;eyinwag_kubernetes
meeds-io;eXo PLF:: Commons;org.exoplatform.commons
kyverno;kyverno;kyverno_kyverno
binary-com;deriv-app;binary-com_deriv-app
heuristnetwork;heurist;HeuristNetwork_heurist
scm-manager;scm;sonia.scm:scm
apereo;cas;org.apereo.cas:cas-server
oss-evaluation;Flowable;oss-evaluation-flowable_flowable-engine
riteshkumar-tudip;plotly.js;riteshkumar-tudip_plotly.js
kharnaim;EXOSIPython;Kharnaim_EXOSIPython
rean-foundation;reancare-service;REAN-Foundation_reancare-service
gxf;open-smart-grid-platform;OSGP_open-smart-grid-platform
ovh;manager;ovh_manager
btigit03;apache_cloudstack;BTIGIT03_apache_cloudstack
frangomezvenegas;TRFE-Components;FranGomezVenegas_TRFE-Components
open-metadata;open-metadata-ui;open-metadata-ui
gurux;GuruxDLMS.c;Gurux_GuruxDLMS.c
hero1s;hive;hero1s_hive
thopiekar-eu;Avalonia;Avalonia
oss-evaluation;org.apache.xmlgraphics:batik;oss-evaluation-apache_xmlgraphics-batik
1panel-dev;1Panel;1Panel-dev_1Panel
powsybl-ci-github;powsybl;com.powsybl:powsybl-core
geoffray-adde-sonarsource-github;eos;geoffray-adde-sonarsource_eos
devopshazelcast-github;Hazelcast;hazelcast-os
starrocks;starrocks-fe;StarRocks_starrocks
academysoftwarefoundation;OpenImageIO;AcademySoftwareFoundation_OpenImageIO
jumpserver;jumpserver;jumpserver_jumpserver
moeurn-ratna;Test-Cloud;moeurn-ratna_test-cloud
devtron-labs;devtron;devtron-labs_devtron
wolfgang-ch;MyTourbook;wolfgang-ch_mytourbook
apache;dolphinscheduler;apache-dolphinscheduler
apache;ofbiz-framework;apache_ofbiz-framework
k8ssandra;k8ssandra-operator;k8ssandra_k8ssandra-operator
city-of-helsinki;linkedcomponents-ui;City-of-Helsinki_linkedcomponents-ui
devtron-labs;dashboard;devtron-labs_dashboard
yetiforcecompany;YetiForceCRM;YetiForceCRM
nexus-ninjas;Liquor-Logic-Frontend;Nexus-Ninjas_Liquor-Logic-Frontend
sarvex;ansible;sarvex_ansible
anto-christo;msbuild;anto-christo_msbuild
jellyfin;jellyfin-web;jellyfin_jellyfin-web
spotbugs;SpotBugs;com.github.spotbugs.spotbugs
hack23;cia;Hack23_cia
apache;Apache CXF;cxf
apache;Apache Ozone Main;hadoop-ozone
phcode-dev;phoenix;phcode-dev_phoenix
twistdroach;open-source-search-engine;twistdroach_open-source-search-engine
sarvex;gitlabhq;sarvex_gitlabhq
apache;Hop Orchestration Platform;apache_hop
devopshazelcast-github;Hazelcast;hazelcast_hazelcast
gizlang;gizcode;gizlang_gizcode
sarvex;themes;sarvex_themes
apache;Drools :: Parent;apache_incubator-kie-drools
sarvex;rails;sarvex_rails
tinymediamanager;tinyMediaManager;org.tinymediamanager:tinyMediaManager
michaellukashov;Far-NetBox;michaellukashov_Far-NetBox
codacy-open-source-projects-scans;libexpat;codacy-open-source-projects-scans_libexpat
open-cluster-management;ocm;open-cluster-management_ocm
cern-cta;CTA;cern-cta_CTA
esig;Digital Signature Services;eu.europa.ec.joinup.sd-dss:sd-dss
simgrid;SimGrid;simgrid_simgrid
surveysolutions;surveysolutions;surveysolutions_surveysolutions
oplog;Maestro;OPLOG_Maestro
apache;Apache Causeway (Aggregator);apache_causeway
surveysolutions;Frontend;surveysolutions_frontend
jafl-github;jx-ide;jafl_jx-ide
tgv293;63135353_Web2;tgv293_63135353_Web2
fluid-cloudnative;fluid;fluid-cloudnative_fluid
carboarded;sentry;carboarded_sentry
christianemv;DWI_ExProject;ChristianEMV_DWI_ExProject
